Date,Open,High,Low,Close,Adj Close,Volume,Weekday,OP/CL,Missed Weekday,Missed date
21/08/2015,22,22.370001,21.450001,21.469999,21.0898,9566600,Friday,CL,,
24/08/2015,20.27,21.83,20,20.709999,20.34326,17057100,Monday,OP,,
25/08/2015,21.620001,21.700001,20.280001,20.280001,19.920877,15567100,Tuesday,,,
26/08/2015,20.940001,21.83,20.780001,21.809999,21.42378,15374400,Wednesday,,,
27/08/2015,22.040001,22.639999,21.91,22.629999,22.229258,11594100,Thursday,,,
28/08/2015,22.629999,22.870001,22.469999,22.73,22.32749,8023600,Friday,CL,,
31/08/2015,22.620001,22.780001,22.389999,22.48,22.081917,5459400,Monday,OP,,
01/09/2015,21.83,22.200001,21.4,21.559999,21.178207,8835200,Tuesday,,,
02/09/2015,22.15,22.219999,21.780001,22.209999,21.816698,8601100,Wednesday,,,
03/09/2015,22.540001,22.65,22.23,22.27,21.875637,6563900,Thursday,,,
04/09/2015,21.889999,22.24,21.74,21.75,21.364845,7199300,Friday,CL,,
08/09/2015,22.280001,22.77,22.190001,22.68,22.278376,5961200,Tuesday,OP,Monday,07/09/2015
09/09/2015,22.75,22.940001,22.18,22.23,21.836342,7226500,Wednesday,,,
10/09/2015,22.1,22.860001,22,22.58,22.180145,8926900,Thursday,,,
11/09/2015,22.33,22.799999,22.24,22.65,22.248905,7539600,Friday,CL,,
14/09/2015,22.76,22.83,22.57,22.690001,22.288198,4811500,Monday,OP,,
15/09/2015,22.700001,23.059999,22.629999,22.940001,22.533772,8177900,Tuesday,,,
16/09/2015,22.9,23.23,22.73,23.1,22.690939,4337700,Wednesday,,,
17/09/2015,23.5,23.709999,23.26,23.309999,22.897217,6717800,Thursday,,,
18/09/2015,22.99,23.49,22.85,23.290001,22.877573,8123900,Friday,CL,,
21/09/2015,23.32,23.58,23.200001,23.530001,23.113325,7046000,Monday,OP,,
22/09/2015,23.02,23.18,22.77,22.889999,22.484657,5708900,Tuesday,,,
23/09/2015,22.91,23.139999,22.82,23,22.59271,4040800,Wednesday,,,
24/09/2015,22.860001,23.68,22.5,23.440001,23.02492,9561000,Thursday,,,
25/09/2015,23.73,24.07,23.379999,23.610001,23.191904,9242300,Friday,CL,,
28/09/2015,23.610001,23.76,23.15,23.299999,22.887396,9889600,Monday,OP,,
29/09/2015,23.549999,23.75,23.219999,23.709999,23.290136,9518400,Tuesday,,,
30/09/2015,23.93,24.68,23.790001,24.65,24.21349,13859800,Wednesday,,,
01/10/2015,24.65,24.719999,23.469999,24.17,23.741991,12232400,Thursday,,,
02/10/2015,24.040001,24.799999,23.790001,24.799999,24.360836,9653600,Friday,CL,,
05/10/2015,24.959999,25.73,24.83,25.42,24.969852,12050600,Monday,OP,,
06/10/2015,25.15,25.860001,25.049999,25.75,25.294012,11330400,Tuesday,,,
07/10/2015,25.809999,26.280001,25.389999,26.02,25.559233,7753800,Wednesday,,,
08/10/2015,25.91,26.24,25.469999,26.17,25.706572,11501700,Thursday,,,
09/10/2015,26.030001,26.280001,25.58,26.07,25.608345,10581200,Friday,CL,,
12/10/2015,26.1,26.5,25.91,26.35,25.883389,5689700,Monday,OP,,
13/10/2015,26.139999,26.559999,26.049999,26.4,25.932497,7461100,Tuesday,,,
14/10/2015,26.43,27.790001,26.4,27.360001,26.8755,15303700,Wednesday,,,
15/10/2015,27.41,27.99,27.129999,27.43,26.944258,13151200,Thursday,,,
16/10/2015,27.52,28.120001,27.450001,27.860001,27.366648,11209900,Friday,CL,,
19/10/2015,27.950001,28.08,27.49,27.809999,27.317532,7367800,Monday,OP,,
20/10/2015,27.690001,27.9,27.48,27.77,27.27824,6610700,Tuesday,,,
21/10/2015,27.940001,28.110001,27.360001,27.41,26.924618,9657000,Wednesday,,,
22/10/2015,27.73,28.49,27.690001,28.4,27.897083,7672100,Thursday,,,
23/10/2015,28.65,28.780001,28.219999,28.59,28.083721,9544400,Friday,CL,,
26/10/2015,28.610001,28.68,28.200001,28.459999,27.95602,6185900,Monday,OP,,
27/10/2015,28.32,28.620001,28.299999,28.440001,27.936377,5206700,Tuesday,,,
28/10/2015,28.620001,28.67,28.200001,28.67,28.162304,5425900,Wednesday,,,
29/10/2015,28.209999,28.5,27.629999,27.68,27.189833,8176300,Thursday,,,
30/10/2015,27.98,28.57,27.77,28.370001,27.867615,7529000,Friday,CL,,
02/11/2015,28.459999,28.73,28.290001,28.700001,28.191771,4752200,Monday,OP,,
03/11/2015,28.530001,28.690001,28.18,28.5,27.995314,9419200,Tuesday,,,
04/11/2015,28.42,28.629999,27.9,28.030001,27.533636,11050200,Wednesday,,,
05/11/2015,28.17,28.25,27.629999,27.709999,27.219303,11970000,Thursday,,,
06/11/2015,30.450001,31.940001,29.82,31.549999,30.991302,29306800,Friday,CL,,
09/11/2015,31.24,31.5,30.969999,31.41,30.853783,12314200,Monday,OP,,
10/11/2015,31,31.17,30.15,30.809999,30.264402,13806500,Tuesday,,,
11/11/2015,30.83,31.049999,30.4,30.51,29.969719,15497400,Wednesday,,,
12/11/2015,30.440001,30.719999,30.27,30.4,29.861666,7277000,Thursday,,,
13/11/2015,30.43,30.559999,29.65,29.799999,29.272293,7323500,Friday,CL,,
16/11/2015,30.190001,30.42,29.950001,30.4,29.861666,8607000,Monday,OP,,
17/11/2015,30.48,30.66,30.27,30.4,29.861666,6426200,Tuesday,,,
18/11/2015,30.41,31.07,30.08,31.030001,30.596252,8755400,Wednesday,,,
19/11/2015,31.139999,31.43,30.889999,31.120001,30.684998,6351800,Thursday,,,
20/11/2015,31.35,31.57,31.16,31.389999,30.951218,5993600,Friday,CL,,
23/11/2015,31.65,31.65,30.809999,30.92,30.487789,6063800,Monday,OP,,
24/11/2015,30.92,31.440001,30.780001,31.17,30.734295,4885700,Tuesday,,,
25/11/2015,31.110001,31.48,31.02,31.129999,30.694853,3457500,Wednesday,,,
27/11/2015,31.190001,31.49,31.030001,31.389999,30.951218,2174900,Friday,CL,,
30/11/2015,31.42,31.860001,31.389999,31.719999,31.276606,8181100,Monday,OP,,
01/12/2015,32,32.779999,31.969999,32.75,32.29221,10237400,Tuesday,,,
02/12/2015,32.799999,33.139999,32.43,32.5,32.045696,7356000,Wednesday,,,
03/12/2015,32.759998,33.099998,32.27,32.43,31.976685,6166400,Thursday,,,
04/12/2015,32.43,33.810001,32.43,33.75,33.278233,11468900,Friday,CL,,
07/12/2015,33.740002,33.740002,33.009998,33.110001,32.647182,8339700,Monday,OP,,
08/12/2015,32.700001,33.700001,32.490002,33.560001,33.090889,7862200,Tuesday,,,
09/12/2015,33.549999,33.75,32.369999,32.709999,32.252766,9316900,Wednesday,,,
10/12/2015,32.810001,33.16,32.700001,32.98,32.518997,5902200,Thursday,,,
11/12/2015,32.650002,32.880001,32.419998,32.490002,32.035847,5683000,Friday,CL,,
14/12/2015,32.52,32.75,32.18,32.57,32.114723,6897300,Monday,OP,,
15/12/2015,32.939999,33.200001,32.759998,32.970001,32.509132,7682400,Tuesday,,,
16/12/2015,33.040001,33.279999,32.75,33.169998,32.706333,5908900,Wednesday,,,
17/12/2015,33.220001,33.560001,32.650002,32.669998,32.213337,6354000,Thursday,,,
18/12/2015,32.439999,32.77,32.099998,32.139999,31.690737,9897400,Friday,CL,,
21/12/2015,32.490002,32.93,32.200001,32.900002,32.440113,7105400,Monday,OP,,
22/12/2015,33,33.259998,32.73,32.93,32.469692,3233800,Tuesday,,,
23/12/2015,32.98,33.189999,32.919998,33.060001,32.597881,3063100,Wednesday,,,
24/12/2015,32.959999,33.25,32.91,33.169998,32.706333,1311200,Thursday,CL,Friday,25/12/2015
28/12/2015,32.82,33.139999,32.360001,33.139999,32.676762,3550600,Monday,OP,,
29/12/2015,33.16,33.779999,33.07,33.68,33.209202,5091500,Tuesday,,,
30/12/2015,33.650002,33.939999,33.380001,33.389999,32.923264,4508600,Wednesday,,,
31/12/2015,33.34,33.490002,32.959999,32.959999,32.499271,3713200,Thursday,CL,Friday,01/01/2016
04/01/2016,32.290001,32.580002,32.040001,32.369999,31.917521,8951900,Monday,OP,,
05/01/2016,32.98,33.439999,32.5,32.889999,32.430256,12256800,Tuesday,,,
06/01/2016,32.349998,32.5,31.16,31.530001,31.089264,11233600,Wednesday,,,
07/01/2016,30.74,30.950001,29.879999,30.280001,29.856737,16132600,Thursday,,,
08/01/2016,30.67,30.700001,29.57,29.629999,29.21582,9961800,Friday,CL,,
11/01/2016,29.66,29.889999,29.15,29.68,29.265121,10234300,Monday,OP,,
12/01/2016,30.209999,30.620001,29.969999,30.18,29.758135,11733900,Tuesday,,,
13/01/2016,30.41,30.610001,29.23,29.26,28.850996,12041800,Wednesday,,,
14/01/2016,28.66,29,27.82,28.67,28.269243,15005900,Thursday,,,
15/01/2016,27.52,27.85,26.639999,27.110001,26.731047,21036300,Friday,CL,,
19/01/2016,27.67,28.450001,27.219999,27.33,26.947973,11428500,Tuesday,OP,Monday,18/01/2016
20/01/2016,26.809999,27.83,26.450001,27.48,27.095875,12029500,Wednesday,,,
21/01/2016,27.780001,28.23,27.209999,27.799999,27.411404,12036400,Thursday,,,
22/01/2016,28.33,28.639999,28.27,28.450001,28.052315,6449900,Friday,CL,,
25/01/2016,28.440001,28.77,28.360001,28.42,28.022734,6768200,Monday,OP,,
26/01/2016,28.48,28.82,28.190001,28.700001,28.298822,5698600,Tuesday,,,
27/01/2016,28.66,28.75,27.82,28.360001,27.963575,5792500,Wednesday,,,
28/01/2016,28.59,28.690001,27.5,28.049999,27.657909,6919400,Thursday,,,
29/01/2016,28.290001,29.35,28.18,29.290001,28.880573,7762600,Friday,CL,,
01/02/2016,29.26,29.450001,29.01,29.299999,28.890434,7247100,Monday,OP,,
02/02/2016,29,29.15,27.860001,28.059999,27.667768,8547700,Tuesday,,,
03/02/2016,28.280001,28.450001,27.549999,28.200001,27.805809,8169300,Wednesday,,,
04/02/2016,28.24,28.85,27.93,28.209999,27.815674,8684600,Thursday,,,
05/02/2016,28.02,28.33,26.35,26.43,26.060553,15010700,Friday,CL,,
08/02/2016,26.030001,26.16,24.85,25.219999,24.867464,15221300,Monday,OP,,
09/02/2016,24.92,26.549999,24.799999,25.49,25.133694,10572700,Tuesday,,,
10/02/2016,25.65,26.389999,25.290001,25.43,25.074532,8395000,Wednesday,,,
11/02/2016,24.780001,25.559999,24.780001,25.299999,24.946348,8503600,Thursday,,,
12/02/2016,25.700001,25.780001,24.75,25.73,25.370335,8520400,Friday,CL,,
16/02/2016,26.1,27.030001,26.02,26.99,26.612724,12133800,Tuesday,OP,Monday,15/02/2016
17/02/2016,27.33,27.92,27.219999,27.66,27.273361,19286700,Wednesday,,,
18/02/2016,29.93,30.98,29.9,30.040001,29.62009,26716500,Thursday,,,
19/02/2016,29.879999,30.709999,29.65,30.440001,30.014502,13140700,Friday,CL,,
22/02/2016,30.879999,31.870001,30.82,31.52,31.079405,11241700,Monday,OP,,
23/02/2016,31.27,31.9,31.120001,31.6,31.158285,9234500,Tuesday,,,
24/02/2016,31.469999,31.870001,30.6,31.82,31.375212,8421300,Wednesday,,,
25/02/2016,31.940001,32.049999,31.32,31.889999,31.444231,8727900,Thursday,,,
26/02/2016,32.040001,32.119999,31.360001,31.68,31.237165,9049100,Friday,CL,,
