Date,Open,High,Low,Close,Adj Close,Volume,Weekday,OP/CL
16/11/2015,1.99,2.02,1.95,1.99,1.99,4149700,Monday,OP
17/11/2015,2.01,2.04,1.97,1.98,1.98,5825100,Tuesday,
18/11/2015,1.99,2.15,1.98,2.12,2.12,9384700,Wednesday,
19/11/2015,2.1,2.16,2.09,2.14,2.14,4704300,Thursday,
20/11/2015,2.14,2.25,2.13,2.22,2.22,10727100,Friday,CL
23/11/2015,2.22,2.24,2.18,2.22,2.22,4863200,Monday,OP
24/11/2015,2.2,2.4,2.17,2.34,2.34,15859700,Tuesday,
25/11/2015,2.36,2.4,2.31,2.38,2.38,6914800,Wednesday,
27/11/2015,2.37,2.38,2.32,2.33,2.33,2606600,Friday,CL
30/11/2015,2.34,2.37,2.25,2.36,2.36,9924400,Monday,OP
01/12/2015,2.36,2.37,2.31,2.34,2.34,5646400,Tuesday,
02/12/2015,2.31,2.34,2.23,2.27,2.27,7501700,Wednesday,
03/12/2015,2.25,2.31,2.2,2.23,2.23,7059900,Thursday,
04/12/2015,2.23,2.29,2.21,2.28,2.28,4572600,Friday,CL
07/12/2015,2.26,2.36,2.21,2.36,2.36,8479600,Monday,OP
08/12/2015,2.34,2.4,2.25,2.39,2.39,9055500,Tuesday,
09/12/2015,2.37,2.4,2.32,2.35,2.35,8710000,Wednesday,
10/12/2015,2.36,2.5,2.33,2.45,2.45,13066300,Thursday,
11/12/2015,2.41,2.47,2.36,2.36,2.36,11890000,Friday,CL
14/12/2015,2.36,2.39,2.3,2.34,2.34,7625700,Monday,OP
15/12/2015,2.35,2.43,2.32,2.36,2.36,7423900,Tuesday,
16/12/2015,2.39,2.55,2.37,2.54,2.54,19543600,Wednesday,
17/12/2015,2.52,2.6,2.52,2.56,2.56,11374100,Thursday,
18/12/2015,2.51,2.55,2.42,2.45,2.45,17988100,Friday,CL
21/12/2015,2.47,2.53,2.43,2.53,2.53,6876600,Monday,OP
22/12/2015,2.55,2.78,2.54,2.77,2.77,24538700,Tuesday,
23/12/2015,2.76,2.94,2.75,2.83,2.83,30365300,Wednesday,
24/12/2015,2.88,3,2.86,2.92,2.92,11900900,Thursday,CL
28/12/2015,2.91,3.02,2.86,3,3,15926600,Monday,OP
29/12/2015,3.04,3.06,2.97,3,3,15300900,Tuesday,
30/12/2015,2.99,3.04,2.93,2.98,2.98,10046600,Wednesday,
31/12/2015,2.97,3.01,2.87,2.87,2.87,11086100,Thursday,CL
04/01/2016,2.77,2.82,2.63,2.77,2.77,32516800,Monday,OP
05/01/2016,2.77,2.8,2.64,2.75,2.75,12972300,Tuesday,
06/01/2016,2.66,2.71,2.47,2.51,2.51,23759400,Wednesday,
07/01/2016,2.43,2.48,2.26,2.28,2.28,22203500,Thursday,
08/01/2016,2.36,2.42,2.1,2.14,2.14,31822400,Friday,CL
11/01/2016,2.16,2.36,2.12,2.34,2.34,19623600,Monday,OP
12/01/2016,2.4,2.46,2.28,2.39,2.39,17986100,Tuesday,
13/01/2016,2.4,2.45,2.21,2.25,2.25,12749700,Wednesday,
14/01/2016,2.29,2.35,2.21,2.21,2.21,15666600,Thursday,
15/01/2016,2.1,2.13,1.99,2.03,2.03,21199300,Friday,CL
